id,name,identity,align,eye,hair,alive,appearances,first_appearance,year
801,Dex-Starr (New Earth),Public Identity,Bad Characters,Yellow Eyes,Blue Hair,Living Characters,35,"2008, December",2008
802,Michael Lane (New Earth),Secret Identity,Good Characters,Brown Eyes,Black Hair,Living Characters,35,"2007, June",2007
803,Arthur Joseph Curry (New Earth),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Living Characters,35,"2006, May",2006
804,Frederick Chyre (New Earth),Public Identity,Good Characters,Blue Eyes,Grey Hair,Living Characters,35,"2000, September",2000
805,Beryl Hutchinson (New Earth),Secret Identity,Good Characters,Blue Eyes,Red Hair,Living Characters,35,"1999, February",1999
807,Carla White (New Earth),Public Identity,Good Characters,Brown Eyes,Brown Hair,Living Characters,35,"1992, October",1992
808,Jeffrey Smith (New Earth),Public Identity,Good Characters,Brown Eyes,Black Hair,Living Characters,35,"1990, February",1990
809,Delilah Tyler (New Earth),Secret Identity,Good Characters,Brown Eyes,Black Hair,Deceased Characters,35,"1989, January",1989
811,Rhea Jones (New Earth),Secret Identity,Good Characters,White Eyes,Red Hair,Living Characters,35,"1987, December",1987
813,Gardner Grayle (New Earth),Secret Identity,Good Characters,Blue Eyes,Red Hair,Living Characters,35,"1983, May",1983
815,Sebastian Blood VIII (New Earth),Secret Identity,Bad Characters,Grey Eyes,Black Hair,Deceased Characters,35,"1982, July",1982
816,Laura Neilsen (New Earth),Public Identity,Good Characters,Blue Eyes,White Hair,Deceased Characters,35,"1971, February",1971
819,Mary James (New Earth),Public Identity,Good Characters,Blue Eyes,Strawberry Blond Hair,Deceased Characters,35,"1940, October",1940
820,Frankenstein (New Earth),Public Identity,Good Characters,Brown Eyes,Black Hair,Living Characters,34,"2006, January",2006
821,Prometheus (New Earth),Secret Identity,Bad Characters,Blue Eyes,White Hair,Deceased Characters,34,"1998, February",1998
822,Samuel Makoa (New Earth),Public Identity,Good Characters,Black Eyes,Black Hair,Living Characters,34,"1994, February",1994
824,Augustus Freeman (Dakotaverse),Secret Identity,Good Characters,Brown Eyes,Black Hair,Living Characters,34,"1993, May",1993
825,Courtney Mason (New Earth),Public Identity,Good Characters,Blue Eyes,Blond Hair,Deceased Characters,34,"1993, July",1993
827,Bonnie Baxter (New Earth),Public Identity,Good Characters,Blue Eyes,Brown Hair,Living Characters,34,"1990, February",1990
828,Oswald Loomis (New Earth),Public Identity,Bad Characters,Blue Eyes,Brown Hair,Living Characters,34,"1988, April",1988
829,Jack Wheeler (New Earth),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Living Characters,34,"1987, September",1987
834,Diane Meade (New Earth),Public Identity,Good Characters,Blue Eyes,Blond Hair,Living Characters,34,"1957, August",1957
835,Brian Kent (New Earth),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Deceased Characters,34,"1955, September",1955
837,King Standish (New Earth),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Living Characters,34,"1940, March",1940
839,Darla Aquista (New Earth),Secret Identity,Good Characters,Blue Eyes,Black Hair,Living Characters,33,"2004, February",2004
841,Bloodwynd (New Earth),Public Identity,Good Characters,Blue Eyes,Black Hair,Living Characters,33,"1993, July",1993
843,Patricia Trayce (New Earth),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Living Characters,33,"1992, January",1992
844,Jonathan Fox (New Earth),Secret Identity,Good Characters,Blue Eyes,Black Hair,Living Characters,33,1990,1990
845,Jewelee (New Earth),Secret Identity,Bad Characters,Blue Eyes,Blond Hair,Living Characters,33,"1988, July",1988
847,Felicity Smoak (New Earth),Public Identity,Neutral Characters,Blue Eyes,Black Hair,Living Characters,33,"1984, May",1984
848,Isuma Yasunari (New Earth),Secret Identity,Good Characters,Brown Eyes,Black Hair,Deceased Characters,33,"1982, June",1982
854,Rod Reilly (New Earth),Secret Identity,Good Characters,Blue Eyes,Brown Hair,Deceased Characters,33,"1941, August",1941
855,Wendy Kuttler (New Earth),Secret Identity,Good Characters,Green Eyes,Black Hair,Living Characters,32,"2006, May",2006
858,Albrecht Krieger (New Earth),Secret Identity,Bad Characters,Blue Eyes,Blond Hair,Living Characters,32,"1995, July",1995
859,Tawky Tawny (New Earth),Public Identity,Good Characters,Orange Eyes,Orange Hair,Living Characters,32,"1995, June",1995
860,Gerri Brauer (Dakotaverse),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Living Characters,32,"1994, January",1994
861,Harry Chawney (Dakotaverse),Secret Identity,Good Characters,White Eyes,Grey Hair,Living Characters,32,"1994, January",1994
862,William MacIntyre (New Earth),Secret Identity,Good Characters,White Eyes,White Hair,Deceased Characters,32,"1994, August",1994
866,Atlan (New Earth),Public Identity,Good Characters,Blue Eyes,Blond Hair,Living Characters,32,"1990, July",1990
867,Corky Baxter (New Earth),Public Identity,Good Characters,Blue Eyes,Brown Hair,Deceased Characters,32,"1990, March",1990
872,Michelle Carter (New Earth),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Living Characters,32,"1986, July",1986
875,William Vickers (New Earth),Public Identity,Good Characters,Blue Eyes,Blond Hair,Deceased Characters,32,"1984, September",1984
876,Prince Topaz (New Earth),Public Identity,Good Characters,Yellow Eyes,Blond Hair,Living Characters,32,"1983, August",1983
877,Ulysses Hazard (New Earth),Secret Identity,Good Characters,Brown Eyes,Black Hair,Living Characters,32,"1977, August",1977
878,Eric Needham (New Earth),Secret Identity,Bad Characters,Brown Eyes,Black Hair,Living Characters,32,"1976, September",1976
879,Steven Smith (New Earth),Public Identity,Good Characters,Blue Eyes,Blond Hair,Living Characters,32,"1972, October",1972
880,Ira Quimby (New Earth),Public Identity,Bad Characters,Blue Eyes,Brown Hair,Living Characters,32,"1963, November",1963
881,Simon Hurt (New Earth),Secret Identity,Bad Characters,Brown Eyes,Brown Hair,Living Characters,32,"1963, June",1963
882,Amos Fortune (New Earth),Secret Identity,Bad Characters,Black Eyes,Black Hair,Living Characters,32,"1961, September",1961
887,Mortimer Drake (New Earth),Secret Identity,Bad Characters,Brown Eyes,Brown Hair,Living Characters,32,"1943, November",1943
889,Hades (New Earth),Public Identity,Neutral Characters,Black Eyes,Black Hair,Living Characters,32,"1941, December",1941
890,Santa Claus,Public Identity,Good Characters,Blue Eyes,White Hair,Living Characters,32,1940,1940
893,Andre Twist (New Earth),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Deceased Characters,31,"2006, June",2006
894,Marcus Driver (New Earth),Public Identity,Good Characters,Blue Eyes,Blond Hair,Living Characters,31,"2003, February",2003
896,Jared Morillo (New Earth),Public Identity,Good Characters,Brown Eyes,Black Hair,Living Characters,31,"2001, April",2001
897,Erica Alexandra del Portenza (New Earth),Secret Identity,Bad Characters,Brown Eyes,Brown Hair,Deceased Characters,31,"1995, June",1995
898,David Kim (Dakotaverse),Secret Identity,Good Characters,Brown Eyes,Black Hair,Living Characters,31,"1994, January",1994
899,Chandi Gupta (New Earth),Secret Identity,Good Characters,Black Eyes,Black Hair,Living Characters,31,"1993, February",1993
900,Laira Omoto (New Earth),Secret Identity,Neutral Characters,White Eyes,Red Hair,Deceased Characters,31,"1993, September",1993
902,Benjamin Lockwood (New Earth),Secret Identity,Good Characters,Blue Eyes,Brown Hair,Deceased Characters,31,"1991, October",1991
903,Flying Fox (New Earth),Secret Identity,Good Characters,Brown Eyes,Black Hair,Living Characters,31,"1987, June",1987
908,Jean-Louis Droo (New Earth),Secret Identity,Bad Characters,Brown Eyes,Black Hair,Living Characters,31,"1981, December",1981
910,Roy G. Bivolo (New Earth),Secret Identity,Bad Characters,Grey Eyes,Black Hair,Deceased Characters,31,"1980, June",1980
911,Lynn Stewart (New Earth),Public Identity,Neutral Characters,Brown Eyes,Black Hair,Living Characters,31,"1977, July",1977
912,Atlanna (New Earth),Public Identity,Good Characters,Brown Eyes,Brown Hair,Deceased Characters,31,"1959, May",1959
913,King Chimera (New Earth),Secret Identity,Good Characters,Black Eyes,Black Hair,Living Characters,30,"2009, April",2009
914,Mark Richards (New Earth),Public Identity,Good Characters,Brown Eyes,Black Hair,Living Characters,30,"2006, April",2006
916,Rodunn (New Earth),Public Identity,Good Characters,Grey Eyes,Brown Hair,Living Characters,30,"2000, January",2000
917,David Cain (New Earth),Public Identity,Bad Characters,Blue Eyes,Grey Hair,Living Characters,30,"1999, July",1999
918,Thaddeus Thawne II (New Earth),Secret Identity,Bad Characters,Yellow Eyes,Blond Hair,Deceased Characters,30,"1999, July",1999
919,Michael Schorr (New Earth),Public Identity,Good Characters,Green Eyes,Brown Hair,Living Characters,30,"1995, September",1995
920,Raquel Ervin (Dakotaverse),Secret Identity,Good Characters,Brown Eyes,Brown Hair,Living Characters,30,"1993, May",1993
925,Daniel Garrett (New Earth),Secret Identity,Good Characters,Blue Eyes,Brown Hair,Deceased Characters,30,"1986, May",1986
927,Nommo (New Earth),Secret Identity,Good Characters,Brown Eyes,Black Hair,Deceased Characters,30,"1982, June",1982
928,Wanda Wayland (New Earth),Public Identity,Bad Characters,Brown Eyes,Blond Hair,Living Characters,30,"1982, June",1982
930,Iluthin (New Earth),Secret Identity,Bad Characters,Blue Eyes,Black Hair,Deceased Characters,30,"1972, April",1972
935,Abel Tarrant (New Earth),Secret Identity,Bad Characters,Blue Eyes,Brown Hair,Deceased Characters,30,"1963, September",1963
939,Charles Grayson (New Earth),Public Identity,Good Characters,Brown Eyes,Brown Hair,Living Characters,30,"1942, April",1942
942,Alberto Reyes (New Earth),Public Identity,Good Characters,Brown Eyes,Black Hair,Living Characters,29,"2006, May",2006
943,Bianca Reyes (New Earth),Public Identity,Good Characters,Brown Eyes,Black Hair,Living Characters,29,"2006, May",2006
944,Jamie Harper (New Earth),Public Identity,Good Characters,Brown Eyes,Black Hair,Living Characters,29,"2006, May",2006
945,John Trujillo (New Earth),Secret Identity,Good Characters,Red Eyes,Black Hair,Living Characters,29,"2006, November",2006
946,Brian Durlin (New Earth),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Living Characters,29,"2003, August",2003
947,Angelo Bend (New Earth),Secret Identity,Bad Characters,Brown Eyes,Brown Hair,Living Characters,29,"2002, May",2002
948,Hacken (New Earth),Public Identity,Neutral Characters,Brown Eyes,Brown Hair,Living Characters,29,"1996, April",1996
949,Arnold Burnsteel (New Earth),Public Identity,Good Characters,White Eyes,Black Hair,Living Characters,29,"1994, November",1994
950,Marcus Aelius (New Earth),Public Identity,Good Characters,Blue Eyes,Blond Hair,Living Characters,29,"1994, September",1994
951,Edmund Dorrance (New Earth),Secret Identity,Bad Characters,Brown Eyes,Blond Hair,Deceased Characters,29,"1991, January",1991
956,Barbara Eileen Gordon (New Earth),Public Identity,Good Characters,Hazel Eyes,Red Hair,Living Characters,29,"1987, February",1987
957,Heinrich Megala (New Earth),Public Identity,Good Characters,Black Eyes,Red Hair,Deceased Characters,29,"1987, March",1987
963,Remoni-Notra (New Earth),Secret Identity,Bad Characters,Blue Eyes,Black Hair,Deceased Characters,29,"1976, June",1976
965,Key (New Earth),Secret Identity,Bad Characters,Red Eyes,White Hair,Living Characters,29,"1965, December",1965
967,"Pedro, Ghost Patrol (New Earth)",Public Identity,Good Characters,Brown Eyes,Brown Hair,Deceased Characters,29,"1942, May",1942
968,Amentep (New Earth),Secret Identity,Good Characters,Black Eyes,Black Hair,Living Characters,29,"1940, February",1940
972,Candace Jean Gennaro (New Earth),Secret Identity,Good Characters,Blue Eyes,Black Hair,Living Characters,28,"2002, February",2002
973,Celia Forrestal (New Earth),Secret Identity,Good Characters,Brown Eyes,Black Hair,Living Characters,28,"2002, February",2002
974,Hope Taya (New Earth),Public Identity,Bad Characters,Brown Eyes,Black Hair,Living Characters,28,"1999, December",1999
976,Bonny Hoffman (New Earth),Public Identity,Bad Characters,Blue Eyes,Blond Hair,Living Characters,28,"1997, May",1997
978,Deborah Tiegel (New Earth),Public Identity,Good Characters,Brown Eyes,Black Hair,Living Characters,28,"1994, March",1994
982,Lyrissa Mallor (New Earth),Public Identity,Good Characters,Blue Eyes,Black Hair,Deceased Characters,28,"1989, February",1989
983,Steven Lombard (New Earth),Public Identity,Neutral Characters,Green Eyes,Red Hair,Living Characters,28,"1989, October",1989
984,Ravan (New Earth),Secret Identity,Bad Characters,Brown Eyes,Black Hair,Deceased Characters,28,"1987, May",1987
985,Gary Washington (New Earth),Secret Identity,Good Characters,Brown Eyes,Black Hair,Living Characters,28,"1985, December",1985
988,Susan Linden I (New Earth),Secret Identity,Good Characters,Violet Eyes,Violet Hair,Deceased Characters,28,"1973, August",1973
989,Virman Vundabar (New Earth),Public Identity,Bad Characters,Blue Eyes,Black Hair,Living Characters,28,"1971, December",1971
990,Zazzala (New Earth),Secret Identity,Bad Characters,Blue Eyes,Black Hair,Living Characters,28,"1963, November",1963
993,Matthew Hagen (New Earth),Secret Identity,Bad Characters,Blue Eyes,Blond Hair,Deceased Characters,28,"1961, December",1961
994,Star Hawkins (New Earth),Public Identity,Good Characters,Brown Eyes,Black Hair,Deceased Characters,28,"1960, March",1960
995,Salvatore Maroni (New Earth),Public Identity,Bad Characters,Brown Eyes,Brown Hair,Deceased Characters,28,"1942, August",1942
1001,Lyssa Drak (New Earth),Public Identity,Bad Characters,Red Eyes,Black Hair,Living Characters,27,"2007, May",2007
1003,Michael Christian Amar (New Earth),Secret Identity,Bad Characters,Brown Eyes,Grey Hair,Living Characters,27,"2001, August",2001
1004,Martin van Wyck (New Earth),Secret Identity,Bad Characters,Blue Eyes,Blond Hair,Deceased Characters,27,"1999, March",1999
1005,Carmen Leno (New Earth),Public Identity,Bad Characters,Brown Eyes,Black Hair,Living Characters,27,"1997, May",1997
1006,Roland (New Earth),Public Identity,Good Characters,Black Eyes,Brown Hair,Living Characters,27,"1995, June",1995
1007,Geoffrey Barron (New Earth),Secret Identity,Good Characters,Brown Eyes,Black Hair,Living Characters,27,"1993, November",1993
1009,Rose Lewis (New Earth),Public Identity,Good Characters,Brown Eyes,Red Hair,Living Characters,27,"1990, June",1990
1010,Flora Black (New Earth),Secret Identity,Neutral Characters,Violet Eyes,Violet Hair,Deceased Characters,27,"1988, December",1988
1011,Elizabeth Thorne (New Earth),Secret Identity,Good Characters,Blue Eyes,Black Hair,Living Characters,27,"1987, September",1987
1013,Lori Lemaris (New Earth),Public Identity,Good Characters,Brown Eyes,Brown Hair,Living Characters,27,"1987, December",1987
1015,Theresa Collins (New Earth),Public Identity,Good Characters,Blue Eyes,Red Hair,Living Characters,27,"1986, February",1986
1016,Karras (New Earth),Public Identity,Good Characters,Green Eyes,Brown Hair,Deceased Characters,27,"1985, July",1985
1018,Dark Opal (New Earth),Public Identity,Bad Characters,Red Eyes,Black Hair,Deceased Characters,27,"1983, April",1983
1020,Mona Taylor (New Earth),Public Identity,Bad Characters,Black Eyes,Black Hair,Living Characters,27,"1982, June",1982
1021,Rupert Thorne (New Earth),Public Identity,Bad Characters,Brown Eyes,White Hair,Living Characters,27,"1977, May",1977
1027,Epoch (New Earth),Secret Identity,Bad Characters,Blue Eyes,Black Hair,Living Characters,27,"1962, March",1962
1035,Mi-Sun Kwon (New Earth),Secret Identity,Good Characters,Brown Eyes,Brown Hair,Deceased Characters,26,"2004, May",2004
1036,Shyleen Lao (New Earth),Secret Identity,Good Characters,Brown Eyes,Blond Hair,Deceased Characters,26,"2001, December",2001
1040,Isadora Wellington-Smythe (Dakotaverse),Secret Identity,Good Characters,Brown Eyes,Brown Hair,Living Characters,26,"1994, January",1994
1041,Kahina Eskandari (Dakotaverse),Secret Identity,Good Characters,Brown Eyes,Black Hair,Living Characters,26,"1994, January",1994
1042,Kevin Franklin (Dakotaverse),Public Identity,Good Characters,Brown Eyes,Brown Hair,Living Characters,26,"1993, June",1993
1044,Matthew Ryder (Armageddon 2001),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Deceased Characters,26,"1991, May",1991
1045,Pythia II (New Earth),Public Identity,Good Characters,Blue Eyes,White Hair,Living Characters,26,"1988, October",1988
1047,Weng Chan (New Earth),Public Identity,Good Characters,Brown Eyes,Black Hair,Living Characters,26,"1988, March",1988
1048,"James Gordon, Jr. (New Earth)",Public Identity,Bad Characters,Blue Eyes,Red Hair,Living Characters,26,"1987, May",1987
1050,Lord Garnet (New Earth),Public Identity,Good Characters,Brown Eyes,Black Hair,Living Characters,26,"1983, October",1983
1051,Summer Day (New Earth),Secret Identity,Neutral Characters,Blue Eyes,Brown Hair,Deceased Characters,26,"1978, September",1978
1053,Carl Andrew Bork (New Earth),Public Identity,Good Characters,Blue Eyes,Brown Hair,Living Characters,26,"1969, January",1969
1054,Sam Simeon (New Earth),Secret Identity,Good Characters,Hazel Eyes,Black Hair,Living Characters,26,"1968, September",1968
1056,Evil Star (New Earth),Secret Identity,Bad Characters,Blue Eyes,Blond Hair,Living Characters,26,"1965, June",1965
1058,Susan Williams (New Earth),Public Identity,Good Characters,Blue Eyes,Blond Hair,Living Characters,26,"1961, December",1961
1062,Wotan (New Earth),Secret Identity,Bad Characters,Black Eyes,Green Hair,Living Characters,26,"1940, May",1940
1064,Joseph Higgins (New Earth),Secret Identity,Good Characters,Blue Eyes,Red Hair,Living Characters,25,"2009, July",2009
1065,Wildstar (New Earth),Public Identity,Good Characters,Brown Eyes,Black Hair,Living Characters,25,"2009, May",2009
1066,Kryb (New Earth),Public Identity,Bad Characters,Black Eyes,Black Hair,Deceased Characters,25,"2007, August",2007
1067,Helena Kyle (New Earth),Public Identity,Neutral Characters,Green Eyes,Brown Hair,Living Characters,25,"2006, May",2006
1070,Manitou Dawn (New Earth),Secret Identity,Good Characters,Brown Eyes,Black Hair,Living Characters,25,"2003, January",2003
1071,Gavin King (New Earth),Secret Identity,Good Characters,Brown Eyes,Black Hair,Deceased Characters,25,"2001, October",2001
1072,Donald Fite (New Earth),Secret Identity,Good Characters,Brown Eyes,Black Hair,Living Characters,25,"1998, September",1998
1074,Uno (New Earth),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Deceased Characters,25,"1996, August",1996
1076,Jarras Minion (New Earth),Secret Identity,Good Characters,Blue Eyes,Green Hair,Living Characters,25,"1994, September",1994
1077,Nash (New Earth),Secret Identity,Bad Characters,Grey Eyes,Black Hair,Deceased Characters,25,"1994, October",1994
1078,Clyde Phillips (New Earth),Secret Identity,Bad Characters,Brown Eyes,Brown Hair,Deceased Characters,25,"1988, July",1988
1084,Carl Nelligan (New Earth),Public Identity,Neutral Characters,Blue Eyes,Black Hair,Living Characters,25,"1983, April",1983
1085,Felicity (New Earth),Public Identity,Good Characters,Pink Eyes,White Hair,Deceased Characters,25,"1983, July",1983
1086,Lady Turquoise (New Earth),Public Identity,Good Characters,Green Eyes,Red Hair,Living Characters,25,"1983, November",1983
1089,Eros (New Earth),Public Identity,Neutral Characters,Blue Eyes,Blond Hair,Living Characters,25,"1981, April",1981
1090,Nathaniel Tryon (New Earth),Secret Identity,Bad Characters,Blue Eyes,Black Hair,Deceased Characters,25,"1981, November",1981
1091,Valda (New Earth),Public Identity,Good Characters,Blue Eyes,Brown Hair,Living Characters,25,"1981, November",1981
1092,Grant Wilson (New Earth),Secret Identity,Bad Characters,Blue Eyes,Blond Hair,Deceased Characters,25,"1980, November",1980
1095,Valcan (New Earth),Public Identity,Good Characters,Brown Eyes,Black Hair,Living Characters,25,"1975, June",1975
1096,Firehair (New Earth),Secret Identity,Good Characters,Blue Eyes,Red Hair,Living Characters,25,"1969, September",1969
1099,Eric Morden (New Earth),Secret Identity,Bad Characters,Brown Eyes,Brown Hair,Living Characters,25,"1964, March",1964
1102,Christopher Freeman (New Earth),Secret Identity,Good Characters,Blue Eyes,Black Hair,Living Characters,25,"1942, December",1942
1103,Thomas N. Thomas (New Earth),Secret Identity,Good Characters,Brown Eyes,Brown Hair,Deceased Characters,25,"1942, April",1942
1104,James Forrest (New Earth),Public Identity,Good Characters,Brown Eyes,Black Hair,Living Characters,24,"2009, July",2009
1108,Daniel Evans (New Earth),Public Identity,Good Characters,Black Eyes,Black Hair,Living Characters,24,"2002, May",2002
1113,Andrew Van Horn (New Earth),Secret Identity,Good Characters,Green Eyes,Red Hair,Living Characters,24,"1993, October",1993
1115,Nicholas Kovak (New Earth),Secret Identity,Good Characters,Blue Eyes,Black Hair,Living Characters,24,1993,1993
1116,Kreon (New Earth),Public Identity,Good Characters,Blue Eyes,Blond Hair,Deceased Characters,24,"1992, March",1992
1117,Peter Cannon (New Earth),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Living Characters,24,"1992, September",1992
1119,Paul Westfield (New Earth),Public Identity,Bad Characters,Brown Eyes,Brown Hair,Deceased Characters,24,"1991, August",1991
1122,Carmine Falcone (New Earth),Public Identity,Bad Characters,Brown Eyes,White Hair,Deceased Characters,24,"1987, February",1987
1128,Rebecca Jones (New Earth),Secret Identity,Bad Characters,Red Eyes,Blue Hair,Living Characters,24,"1984, March",1984
1129,Wayne Tarrant (New Earth),Public Identity,Good Characters,Blue Eyes,Black Hair,Living Characters,24,"1984, June",1984
1130,Wyynde (New Earth),Public Identity,Good Characters,Brown Eyes,Black Hair,Living Characters,24,"1982, April",1982
1131,Lambien (New Earth),Secret Identity,Neutral Characters,Gold Eyes,Gold Hair,Living Characters,24,"1981, June",1981
1132,Fero (New Earth),Secret Identity,Good Characters,Brown Eyes,Black Hair,Living Characters,24,"1973, January",1973
1140,Anthony Zucco (New Earth),Public Identity,Bad Characters,Brown Eyes,Black Hair,Deceased Characters,24,"1940, April",1940
1143,Karu-Sil (New Earth),Public Identity,Bad Characters,Black Eyes,Brown Hair,Living Characters,23,"2007, June",2007
1145,Streaky (New Earth),Public Identity,Neutral Characters,Yellow Eyes,Orange Hair,Living Characters,23,"2006, November",2006
1146,Zoanne Wilkins (New Earth),Public Identity,Good Characters,Brown Eyes,Black Hair,Living Characters,23,"2006, July",2006
1147,Holly Granger (New Earth),Secret Identity,Good Characters,Blue Eyes,Red Hair,Deceased Characters,23,"2005, May",2005
1150,Kirk DePaul (New Earth),Public Identity,Good Characters,Blue Eyes,Brown Hair,Deceased Characters,23,"2002, February",2002
1151,Freak (New Earth),Secret Identity,Good Characters,Amber Eyes,Black Hair,Living Characters,23,"2001, December",2001
1152,Theodore Bruder (New Earth),Public Identity,Good Characters,Brown Eyes,Orange Hair,Living Characters,23,"2001, December",2001
1153,Victor Darge (New Earth),Public Identity,Good Characters,Brown Eyes,Brown Hair,Living Characters,23,"2001, December",2001
1154,Guillermo Barrera (New Earth),Secret Identity,Bad Characters,Brown Eyes,Black Hair,Living Characters,23,"1998, July",1998
1155,Stella Maxwell (Dakotaverse),Secret Identity,Good Characters,Brown Eyes,Brown Hair,Living Characters,23,"1994, December",1994
1157,Ladonna Jameal (New Earth),Secret Identity,Good Characters,Brown Eyes,Brown Hair,Living Characters,23,"1988, May",1988
1163,Aristides Demetrios (New Earth),Secret Identity,Good Characters,Brown Eyes,Black Hair,Living Characters,23,"1982, June",1982
1166,Albert Michaels (New Earth),Secret Identity,Bad Characters,Blue Eyes,Blond Hair,Living Characters,23,"1978, May",1978
1168,Steppenwolf (New Earth),Public Identity,Bad Characters,Red Eyes,Black Hair,Deceased Characters,23,"1972, March",1972
1170,Tannarak (New Earth),Secret Identity,Bad Characters,Blue Eyes,Black Hair,Living Characters,23,"1970, December",1970
1180,Cronus (New Earth),Public Identity,Bad Characters,Red Eyes,White Hair,Living Characters,23,"1941, December",1941
1186,Atlee (New Earth),Secret Identity,Good Characters,Violet Eyes,Black Hair,Living Characters,22,"2007, January",2007
1187,Alix Harrower (New Earth),Secret Identity,Good Characters,White Eyes,Red Hair,Living Characters,22,"2006, January",2006
1188,Father Time (New Earth),Secret Identity,Neutral Characters,Blue Eyes,Black Hair,Living Characters,22,"2006, April",2006
1192,Kent Connor (New Earth),Secret Identity,Bad Characters,Black Eyes,Black Hair,Deceased Characters,22,"1997, January",1997
1193,Lyle Bolton (New Earth),Secret Identity,Bad Characters,Brown Eyes,Black Hair,Living Characters,22,"1996, January",1996
1194,Nicholas Bromfield (New Earth),Public Identity,Good Characters,Brown Eyes,Brown Hair,Living Characters,22,"1995, December",1995
1195,Liam McHugh (New Earth),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Living Characters,22,"1994, March",1994
1197,Alicia Collins (New Earth),Secret Identity,Good Characters,Blue Eyes,Green Hair,Living Characters,22,"1992, April",1992
1198,Brian Arsala (New Earth),Public Identity,Good Characters,Brown Eyes,Brown Hair,Deceased Characters,22,"1988, December",1988
1200,Otis Flannegan (New Earth),Public Identity,Bad Characters,Blue Eyes,Blond Hair,Deceased Characters,22,"1988, April",1988
1201,Walter Johnson I (New Earth),Public Identity,Good Characters,Brown Eyes,Black Hair,Deceased Characters,22,1988,1988
1202,Wayne Hawkins (New Earth),Secret Identity,Good Characters,Brown Eyes,Black Hair,Deceased Characters,22,"1988, January",1988
1210,Anton Lamont (New Earth),Secret Identity,Bad Characters,Blue Eyes,White Hair,Living Characters,22,"1978, October",1978
1211,Phobos (New Earth),Public Identity,Bad Characters,Red Eyes,Red Hair,Living Characters,22,"1969, August",1969
1213,Ace Arn (New Earth),Secret Identity,Good Characters,Black Eyes,White Hair,Living Characters,22,"1965, November",1965
1215,Santiago Vargas (New Earth),Secret Identity,Good Characters,Brown Eyes,Black Hair,Living Characters,22,"1955, January",1955
1216,David Clark (New Earth),Secret Identity,Good Characters,Blue Eyes,Black Hair,Living Characters,22,"1941, January",1941
1217,Gavril Ivanovich (New Earth),Public Identity,Good Characters,Blue Eyes,Blond Hair,Living Characters,21,"2010, August",2010
1218,John Raymond (New Earth),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Living Characters,21,"2009, October",2009
1219,Moses Lwanga (New Earth),Secret Identity,Good Characters,Brown Eyes,Black Hair,Living Characters,21,"2008, December",2008
1220,Ghost Fox Killer (New Earth),Secret Identity,Neutral Characters,White Eyes,Black Hair,Living Characters,21,"2006, June",2006
1224,Henry Bucher (New Earth),Secret Identity,Good Characters,Black Eyes,Black Hair,Living Characters,21,"2004, May",2004
1226,Avruiskin of Pokolistan (New Earth),Secret Identity,Bad Characters,Blue Eyes,Black Hair,Deceased Characters,21,"2001, July",2001
1227,Ishido Maad (New Earth),Secret Identity,Good Characters,Brown Eyes,Black Hair,Living Characters,21,"1998, September",1998
1228,Fringe (New Earth),Secret Identity,Good Characters,White Eyes,White Hair,Living Characters,21,"1997, January",1997
1230,Hero Cruz (New Earth),Secret Identity,Good Characters,Brown Eyes,Black Hair,Living Characters,21,"1996, September",1996
1231,Ringo Chen (New Earth),Public Identity,Neutral Characters,Brown Eyes,Black Hair,Deceased Characters,21,"1996, April",1996
1232,Nora Bromfield (New Earth),Public Identity,Good Characters,Brown Eyes,Brown Hair,Living Characters,21,"1995, December",1995
1234,Leonard Smalls (Dakotaverse),Secret Identity,Bad Characters,Brown Eyes,Black Hair,Living Characters,21,"1993, April",1993
1238,Rafael Sandoval (New Earth),Secret Identity,Good Characters,Brown Eyes,Black Hair,Living Characters,21,"1989, August",1989
1241,Elizabeth Clawman (New Earth),Public Identity,Good Characters,Brown Eyes,Black Hair,Living Characters,21,"1988, January",1988
1243,Marie Payton (New Earth),Public Identity,Neutral Characters,Blue Eyes,Blond Hair,Living Characters,21,"1988, October",1988
1247,Ivana Christina Borodin Molotova (New Earth),Secret Identity,Bad Characters,Brown Eyes,Red Hair,Deceased Characters,21,"1987, December",1987
1249,Bethany Snow (New Earth),Public Identity,Bad Characters,Blue Eyes,Red Hair,Living Characters,21,"1982, August",1982
1250,Mary Seward (New Earth),Public Identity,Bad Characters,Red Eyes,Red Hair,Living Characters,21,"1981, March",1981
1254,Doctor Moon (New Earth),Secret Identity,Bad Characters,Black Eyes,Black Hair,Deceased Characters,21,"1972, March",1972
1255,Himon (New Earth),Public Identity,Neutral Characters,Blue Eyes,White Hair,Living Characters,21,"1972, August",1972
